FECHA,VENTANILLA,EHIDRO,ETERMO,ESOLAR,EEOLICO,ETOTAL,EPASADA,EREGULACION,EGNCAMISEA ,EGNMALACAS,EGNAGUAYTIA,EGNLAISLA,ECARBÓN ,EDIESEL,ER500,ER6,EBAGAZO,EBIOGAS,ESOLAR,EEOLICO,EVENTANILLATG3,EVENTANILLATG4,VENTANILLATV,DEMNORTE,DEMCENTRO ,DEMSUR,PRESIONVENTA,TEMPVENTA,DISPGNVENTA
43525,205.90889,4081.12018,1687.02057,0,97.8131,5865.95385,1026.60245,3054.51773,1645.72557,0,0,0,0,1.2,25.1,0,5.545,9.45,0,97.8131,140.14202,0,65.76687,808.01426,3579.31395,1478.62564,4275.56,27.3,2250
43525.02083,204.68151,3940.16595,1634.62184,0,98.18722,5672.97501,1049.97729,2890.18866,1593.54184,0,0,0,0,1.2,24.6,0,5.83,9.45,0,98.18722,139.54217,0,65.13934,777.54653,3419.21673,1476.21175,4275.56,27.3,2250
43525.04167,205.40022,3918.12472,1649.29405,0,102.03779,5669.45656,1025.47665,2892.64807,1608.36405,0,0,0,0,1.2,24.2,0,6.08,9.45,0,102.03779,139.51045,0,65.88977,786.86437,3415.13468,1467.45751,4308.537,26.75,2250
43525.0625,205.38319,3894.02189,1604.44965,0,89.1208,5587.59234,1046.55298,2847.46891,1563.72465,0,0,0,0,1.2,24.3,0,5.775,9.45,0,89.1208,139.95086,0,65.43233,773.70199,3358.21156,1455.67879,4308.537,26.75,2250
43525.08333,205.17624,3731.86497,1701.14337,0,92.58856,5525.5969,1047.5133,2684.35167,1659.8056,0,0,0,0,1.2,24.9,0,5.78777,9.45,0,92.58856,139.67284,0,65.5034,762.21521,3310.13072,1453.25097,4369.191,26.25,2250
43525.10417,185.00137,3712.83904,1578.27761,0,85.79235,5376.909,1026.27183,2686.56721,1541.32252,0,0,0,0,0,21.9,0,5.60509,9.45,0,85.79235,124.36816,0,60.63321,715.70615,3225.34783,1435.85502,4369.191,26.25,2250
43525.125,180.07584,3745.42922,1570.5746,0,82.02845,5398.03227,1033.58475,2711.84447,1533.84638,0,0,0,0,0,21.7,0,5.57822,9.45,0,82.02845,121.49333,0,58.58251,715.85349,3226.62353,1455.55525,4408.292,25.825,2250
43525.14583,178.38134,3672.20643,1473.90352,0,102.85661,5248.96656,1024.27891,2647.92752,1437.08901,0,0,0,0,0,21.6,0,5.76451,9.45,0,102.85661,120.5302,0,57.85114,734.90635,3123.96168,1390.09853,4408.292,25.825,2250
43525.16667,179.68156,3766.91683,1492.82587,0,121.58519,5381.32789,1035.11792,2731.79891,1456.18767,0,0,0,0,0,21.6,0,5.5882,9.45,0,121.58519,121.72405,0,57.95751,712.57386,3238.72251,1430.03152,4423.367,25.4,2250
43525.1875,178.72569,3817.67614,1533.74362,0,121.91457,5473.33433,1044.70915,2772.96699,1497.17413,0,0,0,0,0,21.6,0,5.51949,9.45,0,121.91457,121.07364,0,57.65205,749.84912,3259.71012,1463.77509,4423.367,25.4,2250
43525.20833,177.56608,3765.99385,1497.52047,0,160.25399,5423.76831,1034.92715,2731.0667,1460.90547,0,0,0,0,0,21.5,0,5.665,9.45,0,160.25399,121.01258,0,56.5535,746.63723,3223.09046,1454.04062,4421.13,25.1,2250
43525.22917,179.70037,3738.50131,1558.56724,6.46289,153.47085,5457.00229,1025.49642,2713.00489,1522.09224,0,0,0,0,0,21.2,0,5.825,9.45,6.46289,153.47085,121.4648,0,58.23557,757.68887,3276.92821,1422.38521,4421.13,25.1,2250
43525.25,178.9909,3847.70508,1608.39807,36.65187,113.45522,5606.21024,1035.15755,2812.54753,1571.35807,0,0,0,0,0,21.6,0,5.99,9.45,36.65187,113.45522,121.05367,0,57.93723,786.89962,3380.46904,1438.84158,4399.106,24.8,2250
43525.27083,179.56613,3880.55451,1568.30039,119.03395,102.37857,5670.26742,1042.96467,2837.58984,1527.24039,0,0,0,0,1.2,24.6,0,5.81,9.45,119.03395,102.37857,121.44077,0,58.12536,779.9879,3465.596,1424.68352,4399.106,24.8,2250
43525.29167,186.62991,3845.15358,1681.68267,180.94251,63.0629,5770.84166,1032.82486,2812.32872,1640.57767,0,0,0,0,1.2,24.7,0,5.755,9.45,180.94251,63.0629,127.10678,0,59.52313,781.21237,3596.80679,1392.8225,4321.845,24.575,2250
43525.3125,206.3317,3924.6232,1807.70564,205.59377,57.81727,5995.73988,1045.57722,2879.04598,1713.16689,0,0,0,0,54.57375,24.8,0,5.715,9.45,205.59377,57.81727,139.71509,0,66.61661,848.95801,3697.16178,1449.62009,4321.845,24.575,2250
43525.33333,202.33332,3969.6206,2005.95253,213.49174,45.13792,6234.20279,1051.00208,2918.61852,1838.83554,0,0,0,0,126.95699,25,0,5.71,9.45,213.49174,45.13792,138.08148,0,64.25184,876.37622,3905.65437,1452.1722,4283.804,24.475,2250
43525.35417,203.6354,4011.30145,2130.5661,229.31427,58.92888,6430.1107,1049.47788,2961.82357,1964.15884,0,0,0,0,126.46226,24.5,0,5.995,9.45,229.31427,58.92888,138.33166,0,65.30374,889.43643,4059.17433,1481.49994,4283.804,24.475,2250
43525.375,203.96919,4078.12494,2227.23034,228.6105,68.04555,6602.01133,1061.42765,3016.69729,2086.2887,0,0,0,0,101.74164,24.5,0,5.65,9.05,228.6105,68.04555,139.05169,0,64.9175,940.04089,4169.74893,1492.22151,4221.148,24.725,2250
43525.39583,203.15771,4061.92616,2353.07743,232.70139,69.15887,6716.86385,1055.99838,3005.92778,2213.12323,0,0,0,0,102.0792,24.4,0,5.625,7.85,232.70139,69.15887,138.31841,0,64.8393,920.80582,4350.21084,1445.84719,4221.148,24.725,2250
43525.41667,203.03834,4104.73039,2352.42924,242.84614,99.94386,6799.94963,1051.50125,3053.22914,2213.31275,0,0,0,0,100.93149,24.5,0,5.835,7.85,242.84614,99.94386,138.11491,0,64.92343,943.17187,4382.99623,1473.78153,4102.431,25.125,2250
43525.4375,200.69009,4066.68343,2487.03488,206.96958,98.61093,6859.29882,1043.37263,3023.3108,2349.48608,0,0,0,0,99.9488,24.3,0,5.45,7.85,206.96958,98.61093,137.03113,0,63.65896,974.67567,4398.76365,1485.8595,4102.431,25.125,2250
43525.45833,209.93472,4095.56608,2567.70668,196.67962,96.8588,6956.81118,1042.16156,3053.40452,2381.99068,0,19.9265,0,0,126.4495,24.7,0,5.84,8.8,196.67962,96.8588,136.54506,0,73.38966,964.82382,4486.57626,1505.4111,4062.859,25.687,2250
43525.47917,211.57638,4103.68281,2463.95889,226.48513,158.79777,6952.9246,1046.26763,3057.41518,2231.7926,0,66.73364,0,0,126.01765,24.5,0,5.815,9.1,226.48513,158.79777,136.08353,0,75.49285,977.68257,4477.19484,1498.04719,4062.859,25.687,2250
43525.5,213.78132,4080.925,2429.38482,171.65641,172.3495,6854.31573,1046.15068,3034.77432,2182.85042,0,80.16838,0,0,126.71102,24.6,0,5.955,9.1,171.65641,172.3495,137.18169,0,76.59963,986.23699,4360.71575,1507.36299,4043.779,26.35,2250
43525.52083,209.8389,4004.13026,2446.73347,184.13864,199.61299,6834.61536,1045.82263,2958.30763,2200.39705,0,80.5661,0,0,125.88032,24.9,0,5.89,9.1,184.13864,199.61299,134.92955,0,74.90935,944.49121,4404.701,1485.42315,4043.779,26.35,2250
43525.54167,202.85054,3959.50874,2398.02597,178.8289,226.20595,6762.56956,1045.76663,2913.74211,2151.42703,0,81.00504,0,0,126.1039,24.4,0,5.99,9.1,178.8289,226.20595,137.74613,0,65.10441,907.22598,4359.53262,1495.81096,4094.305,26.925,2250
43525.5625,199.84111,4082.82436,2403.59324,151.63901,228.52582,6866.58243,1052.79113,3030.03323,2180.44402,0,81.34698,0,0,102.16224,24.4,0,6.14,9.1,151.63901,228.52582,136.29817,0,63.54294,957.91053,4395.7596,1512.9123,4094.305,26.925,2250
43525.58333,201.44669,4034.81801,2406.06216,156.4571,247.83282,6845.17009,1029.11924,3005.69877,2181.63775,0,81.75955,0,0,102.75486,24.6,0,6.21,9.1,156.4571,247.83282,136.75109,0,64.6956,955.85056,4375.77592,1513.54361,4150.012,27.425,2250
43525.60417,199.41492,4041.21476,2447.77906,152.83548,240.91076,6882.74006,1035.43574,3005.77902,2226.88081,0,81.77473,0,0,100.03352,24.4,0,5.59,9.1,152.83548,240.91076,135.25178,0,64.16314,948.96138,4421.084,1512.69468,4150.012,27.425,2250
43525.625,200.82707,4082.14141,2381.71372,171.91425,247.31725,6883.08663,1044.61712,3037.52429,2156.80114,0,81.83912,0,0,103.14846,24.8,0,6.125,9,171.91425,247.31725,136.09128,0,64.73579,957.0718,4440.71677,1485.29806,4154.723,27.95,2250
